Duke,1
Siena,16
Ohio State,8
TCU,9
St. John's,5
Northern Iowa,12
Kansas,4
California Baptist,13
Louisville,6
South Florida,11
Michigan State,3
North Dakota State,14
UCLA,7
UCF,10
UConn,2
Furman,15
Florida,1
Prairie View/Lehigh,16
Clemson,8
Iowa,9
Vanderbilt,5
McNeese State,12
Nebraska,4
Troy,13
North Carolina,6
VCU,11
Illinois,3
Penn,14
Saint Mary's,7
Texas A&M,10
Houston,2
Idaho,15
Arizona,1
Long Island,16
Villanova,8
Utah State,9
Wisconsin,5
High Point,12
Arkansas,4
Hawaii,13
BYU,6
Texas/NC State,11
Gonzaga,3
Kennesaw State,14
Miami,7
Missouri,10
Purdue,2
Queens,15
Michigan,1
UMBC/Howard,16
Georgia,8
Saint Louis,9
Texas Tech,5
Akron,12
Alabama,4
Hofstra,13
Tennessee,6
Miami (OH),11
Virginia,3
Wright State,14
Kentucky,7
Santa Clara,10
Iowa State,2
Tennessee State,15
